name,longitude,latitude
le charmel,3.55,49.1167
allemant,3.45,49.4667
mont saint pere,3.48333,49.0667
parfondeval,4.16667,49.7333
chivres val,3.43333,49.4
aubencheul aux bois,3.26667,50.0333
montfaucon,3.45,48.95
les autels,4.2257,49.7667
fontenoy,3.2,49.4167
crecy au mont,3.31667,49.4833
morcourt,3.31667,49.8667
neuville sur margival,3.4,49.45
cys la commune,3.56667,49.4
marizy saint mard,3.21667,49.1833
villeret,3.18333,49.95
amifontaine,3.91667,49.4833
fontaine uterte,3.36667,49.9167
dolignon,4.08333,49.7167
etaves et bocquiaux,3.45,49.9333
rocquigny,3.98333,50.0333
mortiers,3.66667,49.6833
rozoy sur serre,4.13333,49.7167
malzy,3.73333,49.9
bellenglise,3.25,49.9167
cerny en laonnois,3.66667,49.45
montloue,4.06667,49.6667
sainte genevieve,4.07139,49.7195
neuve maison,4.03333,49.9333
bezu saint germain,3.4,49.1
etreaupont,3.91667,49.9
berthenicourt,3.38333,49.7667
thiernu,3.8,49.75
laigny,3.86667,49.85
aisonville et bernoville,3.53333,49.9333
crouy,3.36667,49.4
hirson,4.08333,49.9167
bagneux,3.28333,49.4667
autremencourt,3.8,49.7
la celle sous montmirail,3.46611,48.8648
conde sur aisne,3.45,49.4
blerancourt,3.15,49.5167
monthurel,3.55,49.0167
petit verly,3.55,49.9667
soize,4.08333,49.7
saconin et breuil,3.25,49.3667
largny sur automne,3.05,49.2667
sommeron,3.95,49.95
veslud,3.73333,49.5333
liesse notre dame,3.80445,49.6095
chaudun,3.26667,49.3167
vuillery,3.38333,49.4333
omissy,3.31667,49.8833
pavant,3.28333,48.95
missy sur aisne,3.43333,49.3833
cugny,3.15,49.7
parfondru,3.71667,49.5333
coingt,4.08333,49.7833
fonsomme,3.4,49.9
dury,3.12889,49.7506
royaucourt et chailvet,3.53333,49.5167
landricourt,3.36667,49.5
sissonne,3.9,49.5667
berlise,4.11667,49.6667
ribemont,3.46667,49.8
sains richaumont,3.7,49.8167
filain,3.55,49.4667
chevregny,3.58333,49.4667
montchalons,3.73333,49.5167
brumetz,3.15,49.1
taillefontaine,3.03333,49.3167
guny,3.26667,49.5167
fresnoy le grand,3.41667,49.95
nouvron vingre,3.2,49.4333
magny la fosse,3.28333,49.9333
cuisy en almont,3.25,49.4167
montbavin,3.51667,49.5333
vorges,3.65,49.5167
montescourt lizerolles,3.2575,49.7387
pont arcy,3.61667,49.3833
grugies,3.26667,49.8
bieuxy,3.26667,49.45
marcy,3.4,49.8333
braine,3.53333,49.3333
orgeval,3.7,49.5167
marest dampcourt,3.15,49.6
cilly,3.83333,49.7333
harly,3.31667,49.8333
rouvroy,3.31667,49.85
romeny sur marne,3.33333,48.9833
douchy,3.11667,49.7667
vauxtin,3.6,49.35
rogecourt,3.41667,49.6333
montigny lengrain,3.1,49.3667
houry,3.85,49.7833
pierrepont,3.78333,49.65
dohis,4.13333,49.75
brasles,3.43333,49.05
aubigny en laonnois,3.8,49.5
paissy,3.7,49.4167
nouvion le comte,3.46667,49.6833
monceau le neuf et faucouzy,3.61584,49.7698
raillimont,4.15,49.7083
dammard,3.2,49.15
passy sur marne,3.56667,49.0667
lempire,3.16667,49.9833
cuiry les chaudardes,3.76667,49.3833
housset,3.7,49.7833
billy sur aisne,3.38333,49.3667
belleu,3.33333,49.3667
pontavert,3.81667,49.4167
dizy le gros,4.01667,49.6333
crouttes sur marne,3.24,48.98
